From,To,Regular Road Cost ($),Regular Road Time (mins),Highway Cost ($),Highway Time (mins)
London,Paris,60.80,378,74.20,236
London,Milan,177.03,1297,203.18,547
London,Vienna,203.81,1280,214.11,774
London,Barcelona,215.78,1340,257.41,846
London,Madrid,248.12,1541,318.68,904
London,Lyon,132.20,1111,168.30,423
London,Berlin,154.46,1193,197.76,576
London,Venice,211.68,1222,253.41,885
London,Rome,263.03,1811,315.15,837
London,Munich,156.24,940,197.27,602
London,Zurich,135.56,1174,172.82,443
Paris,London,66.92,466,81.15,236
Paris,Milan,133.26,1142,127.99,372
Paris,Vienna,188.70,1409,178.05,644
Paris,Barcelona,160.01,853,196.28,468
Paris,Madrid,194.10,1636,250.57,629
Paris,Lyon,66.46,511,97.29,216
Paris,Berlin,162.76,1372,138.14,539
Paris,Venice,179.18,1266,328.44,554
Paris,Rome,231.29,1950,380.85,651
Paris,Munich,132.34,814,144.15,377
Paris,Zurich,85.51,581,94.27,334
Milan,London,184.81,1413,216.53,568
Milan,Paris,134.02,829,127.16,452
Milan,Vienna,137.25,1065,134.86,411
Milan,Barcelona,153.30,1207,203.18,409
Milan,Madrid,255.57,1954,356.28,805
Milan,Lyon,64.76,552,178.12,260
Milan,Berlin,160.80,1177,123.58,557
Milan,Venice,38.44,204,53.82,133
Milan,Rome,89.92,615,115.23,271
Milan,Munich,71.11,451,61.47,251
Milan,Zurich,42.02,284,36.66,119
Vienna,London,189.78,1308,203.39,669
Vienna,Paris,172.66,1307,167.63,614
Vienna,Milan,116.51,1099,124.11,361
Vienna,Barcelona,236.84,2306,247.79,849
Vienna,Madrid,310.60,2721,351.21,1095
Vienna,Lyon,149.48,1528,158.97,644
Vienna,Berlin,83.54,534,88.04,387
Vienna,Venice,71.22,575,77.05,314
Vienna,Rome,148.60,1085,171.15,619
Vienna,Munich,49.21,444,62.58,175
Vienna,Zurich,93.23,743,105.61,332
Barcelona,London,194.30,1537,293.67,783
Barcelona,Paris,137.38,930,157.27,596
Barcelona,Milan,134.03,1021,273.07,576
Barcelona,Vienna,250.43,1838,320.17,960
Barcelona,Madrid,76.62,472,107.96,327
Barcelona,Lyon,78.68,551,119.80,338
Barcelona,Berlin,249.15,1898,278.68,1075
Barcelona,Venice,166.53,1301,241.88,724
Barcelona,Rome,201.68,1617,267.01,726
Barcelona,Munich,178.25,1193,212.10,632
Barcelona,Zurich,140.43,983,181.67,530
Madrid,London,231.92,2355,307.77,846
Madrid,Paris,167.51,1570,229.70,543
Madrid,Milan,218.42,1751,251.86,782
Madrid,Vienna,325.37,2002,356.51,1295
Madrid,Barcelona,76.71,623,90.34,331
Madrid,Lyon,162.88,1306,177.21,555
Madrid,Berlin,325.37,2447,394.32,1077
Madrid,Venice,250.73,1776,299.29,1067
Madrid,Rome,285.88,1814,324.43,831
Madrid,Munich,262.44,1859,313.48,953
Madrid,Zurich,223.35,1448,278.91,953
